,bench_name,digitizer_id,files_ids,hole_id,hole_name,pattern_name,rig_id,sensor_id,start_time_max,start_time_min
123,886,S1027,145,10613,10613,NN93_12,33,PR005,1554518682,1554517161
124,885,6172,437,9417,9417,NS92_82,33,6172,1554651812,1554236889
125,885,6172,437,9318,9318,NS92_82,33,6172,1554236600,1554235544
126,886,S1027,163,11207,11207,NN93_12,33,PR005,1554535472,1554534809
127,886,S1027,160,10709,10709,NN93_12,33,PR005,1554691688,1554689593
128,886,S1027,"53,109",10015,10015,NN93_12,33,PR005,1554563441,1554562570
129,886,S1027,"110,142",10313,10313,NN93_12,33,PR005,1554607376,1554605954
130,886,S1027,133,9219,9219,NN93_12,33,PR005,1554594783,1554592886
131,885,6172,"49,50",9613T,9613T,NS92_82,33,6172,1554324010,1554321855
132,885,S1027,"11,28",9312,9312,NS92_82,33,DIFF017,1554271301,1554270139
133,885,S1027,"20,28",9310,9310,NS92_82,33,DIFF017,1554268305,1554267378
134,885,6172,388,9210,9210,NS92_82,33,6172,1554259082,1554257779
135,886,S1027,139,11008,11008,NN93_12,33,PR005,1554539801,1554537764
136,885,6172,335,9207,9207,NS92_82,33,6172,1554252581,1554251549
137,885,S1027,"33,39",9611,9611,NS92_82,33,DIFF017,1554318093,1554317004
138,885,S1027,20,9309,9309,NS92_82,33,DIFF017,1554267182,1554266283
139,885,6172,388,9211,9211,NS92_82,33,6172,1554260622,1554259291
140,886,S1027,149,10714,10714,NN93_12,33,PR005,1554482579,1554480800
141,886,S1027,154,10414,10414,NN93_12,33,PR005,1554520644,1554520077
142,885,6172,48,9611,9611,NS92_82,33,6172,1554318093,1554317004
143,886,S1027,"124,144",10513,10513,NN93_12,33,PR005,1554554203,1554551841
144,885,6172,47,9608,9608,NS92_82,33,6172,1554313783,1554312584
145,886,S1027,"107,167",9518,9518,NN93_12,33,PR005,1554574351,1554573032
146,886,S1027,"165,167",9220T,9220T,NN93_12,33,PR005,1554579639,1554576381
147,886,S1027,161,9714,9714,NN93_12,33,PR005,1554709237,1554707722
148,885,S1027,37,9409,9409,NS92_82,33,DIFF017,1554281614,1554280579
149,886,6673,302,10414,10414,NN93_12,33,6673,1554520644,1554520077
150,886,S1027,109,10115,10115,NN93_12,33,PR005,1554562279,1554561424
151,886,S1027,"113,146",9515,9515,NN93_12,33,PR005,1554714518,1554245292
152,885,S1027,"53,109",8911,8911,NS92_82,33,PR005,1554562858,1554561812
153,886,S1027,106,10116,10116,NN93_12,33,PR005,1554524893,1554524612
154,885,S1027,"11,17",9407,9407,NS92_82,33,DIFF017,1554275436,1554274335
155,885,S1027,14,9209,9209,NS92_82,33,DIFF017,1554255190,1554254218
156,886,S1027,154,10315,10315,NN93_12,33,PR005,1554522816,1554520893
157,885,6172,365,9317,9317,NS92_82,33,6172,1554233274,1554232350
158,886,S1027,"108,153",10611,10611,NN93_12,33,PR005,1554600231,1554597200
159,885,6172,"320,408",9412,9412,NS92_82,33,6172,1554286444,1554285082
160,886,S1027,"102,136",9319T,9319T,NN93_12,33,PR005,1554590720,1554587256
161,885,S1027,26,9213,9213,NS92_82,33,DIFF017,1554263486,1554262430
162,885,6172,423,9309,9309,NS92_82,33,6172,1554267182,1554266283
163,885,6172,"46,316",9606,9606,NS92_82,33,6172,1554308016,1554306838
164,885,S1027,3,9317,9317,NS92_82,33,DIFF017,1554233274,1554232350
165,885,6172,"41,447",9407,9407,NS92_82,33,6172,1554275436,1554274335
166,885,S1027,"107,147",9008,9008,NS92_82,33,PR005,1554570354,1554569348
167,885,S1027,"20,26",9307,9307,NS92_82,33,DIFF017,1554264766,1554263860
168,886,S1027,170,10211,10211,NN93_12,33,PR005,1554702687,1554702146
169,885,6172,448,9213,9213,NS92_82,33,6172,1554263486,1554262430
170,885,S1027,28,9311,9311,NS92_82,33,DIFF017,1554269916,1554268521
171,886,S1027,168,9718,9718,NN93_12,33,PR005,1554528461,1554527510
172,886,S1027,163,11108,11108,NN93_12,33,PR005,1554537164,1554535742
173,885,S1027,"14,19",9208,9208,NS92_82,33,DIFF017,1554254004,1554253024
174,885,S1027,18,9508,9508,NS92_82,33,DIFF017,1554291657,1554290810
175,885,6172,"432,433",9517,9517,NS92_82,33,6172,1554243573,1554242166
176,886,S1027,142,10114,10114,NN93_12,33,PR005,1554609459,1554608940
177,885,S1027,11,9406,9406,NS92_82,33,DIFF017,1554273935,1554272975
178,886,S1027,"126,160",10609,10609,NN93_12,33,PR005,1554694678,1554691899
179,885,S1027,10,9512,9512,NS92_82,33,DIFF017,1554302481,1554301264
180,886,S1027,135,9715,9715,NN93_12,33,PR005,1554647684,1554646166
181,886,6673,298,10613,10613,NN93_12,33,6673,1554518682,1554517161
182,885,6172,432,9516,9516,NS92_82,33,6172,1554245078,1554243814
