2019-02-07 00:00:12: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:13: SLEEPING
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:14: RX COMMUNICATION LOST
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:14: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:15: SLEEPING
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:16: RX COMMUNICATION LOST
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:16: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:17: SLEEPING
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:18: RX COMMUNICATION LOST
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:18: SLEEPING
2019-02-07 00:00:19: SLEEPING
2019-02-07 00:00:19: SLEEPING
2019-02-07 00:00:19: SLEEPING
